"","Group.1","Group.2"," Body Accelerometer Raw  Mean() Horizontal-X"," Body Accelerometer Raw  Mean() Horizontal-Y"," Body Accelerometer Raw  Mean() Vertical"," Body Accelerometer Raw  Std() Horizontal-X"," Body Accelerometer Raw  Std() Horizontal-Y"," Body Accelerometer Raw  Std() Vertical"," Gravitational Accelerometer Raw  Mean() Horizontal-X"," Gravitational Accelerometer Raw  Mean() Horizontal-Y"," Gravitational Accelerometer Raw  Mean() Vertical"," Gravitational Accelerometer Raw  Std() Horizontal-X"," Gravitational Accelerometer Raw  Std() Horizontal-Y"," Gravitational Accelerometer Raw  Std() Vertical"," Body Accelerometer Raw Jerk Mean() Horizontal-X"," Body Accelerometer Raw Jerk Mean() Horizontal-Y"," Body Accelerometer Raw Jerk Mean() Vertical"," Body Accelerometer Raw Jerk Std() Horizontal-X"," Body Accelerometer Raw Jerk Std() Horizontal-Y"," Body Accelerometer Raw Jerk Std() Vertical"," Body Gyroscope Raw  Mean() Horizontal-X"," Body Gyroscope Raw  Mean() Horizontal-Y"," Body Gyroscope Raw  Mean() Vertical"," Body Gyroscope Raw  Std() Horizontal-X"," Body Gyroscope Raw  Std() Horizontal-Y"," Body Gyroscope Raw  Std() Vertical"," Body Gyroscope Raw Jerk Mean() Horizontal-X"," Body Gyroscope Raw Jerk Mean() Horizontal-Y"," Body Gyroscope Raw Jerk Mean() Vertical"," Body Gyroscope Raw Jerk Std() Horizontal-X"," Body Gyroscope Raw Jerk Std() Horizontal-Y"," Body Gyroscope Raw Jerk Std() Vertical"," Body Accelerometer Raw Mag Mean()"," Body Accelerometer Raw Mag Std()"," Gravitational Accelerometer Raw Mag Mean()"," Gravitational Accelerometer Raw Mag Std()"," Body Accelerometer Raw JerkMag Mean()"," Body Accelerometer Raw JerkMag Std()"," Body Gyroscope Raw Mag Mean()"," Body Gyroscope Raw Mag Std()"," Body Gyroscope Raw JerkMag Mean()"," Body Gyroscope Raw JerkMag Std()"," Body Accelerometer FFT  Mean() Horizontal-X"," Body Accelerometer FFT  Mean() Horizontal-Y"," Body Accelerometer FFT  Mean() Vertical"," Body Accelerometer FFT  Std() Horizontal-X"," Body Accelerometer FFT  Std() Horizontal-Y"," Body Accelerometer FFT  Std() Vertical"," Body Accelerometer FFT  MeanFreq() Horizontal-X"," Body Accelerometer FFT  MeanFreq() Horizontal-Y"," Body Accelerometer FFT  MeanFreq() Vertical"," Body Accelerometer FFT Jerk Mean() Horizontal-X"," Body Accelerometer FFT Jerk Mean() Horizontal-Y"," Body Accelerometer FFT Jerk Mean() Vertical"," Body Accelerometer FFT Jerk Std() Horizontal-X"," Body Accelerometer FFT Jerk Std() Horizontal-Y"," Body Accelerometer FFT Jerk Std() Vertical"," Body Accelerometer FFT Jerk MeanFreq() Horizontal-X"," Body Accelerometer FFT Jerk MeanFreq() Horizontal-Y"," Body Accelerometer FFT Jerk MeanFreq() Vertical"," Body Gyroscope FFT  Mean() Horizontal-X"," Body Gyroscope FFT  Mean() Horizontal-Y"," Body Gyroscope FFT  Mean() Vertical"," Body Gyroscope FFT  Std() Horizontal-X"," Body Gyroscope FFT  Std() Horizontal-Y"," Body Gyroscope FFT  Std() Vertical"," Body Gyroscope FFT  MeanFreq() Horizontal-X"," Body Gyroscope FFT  MeanFreq() Horizontal-Y"," Body Gyroscope FFT  MeanFreq() Vertical"," Body Accelerometer FFT Mag Mean()"," Body Accelerometer FFT Mag Std()"," Body Accelerometer FFT Mag MeanFreq()"," Body Accelerometer FFT JerkMag Mean()"," Body Accelerometer FFT JerkMag Std()"," Body Accelerometer FFT JerkMag MeanFreq()"," Body Gyroscope FFT Mag Mean()"," Body Gyroscope FFT Mag Std()"," Body Gyroscope FFT Mag MeanFreq()"," Body Gyroscope FFT JerkMag Mean()"," Body Gyroscope FFT JerkMag Std()"," Body Gyroscope FFT JerkMag MeanFreq()","angle( Body Accelerometer Raw Mean,gravity)","angle( Body Accelerometer Raw JerkMean),gravityMean)","angle( Body Gyroscope Raw Mean,gravityMean)","angle( Body Gyroscope Raw JerkMean,gravityMean)","angle(X,gravityMean)","angle(Y,gravityMean)","angle(Z,gravityMean)","Activity Label","Subject Num"
"1",1,1,-0.352102542321053,-0.356171186046316,-0.359957246735789,-0.352193368185263,-0.353495803368421,-0.36244634668421,-0.236692253249474,-0.248604311103158,-0.229494393873684,-0.2466371988,-0.250535081629474,-0.242162231133684,-0.11736990192,-0.129349099413684,-0.126838447026316,-0.111864686282105,-0.111822466338526,-0.108364713733684,-0.236076823428421,-0.247215311676842,-0.255832101536842,-0.266043272073684,-0.271823074213684,-0.275388521863158,-0.379672371982105,-0.376843494052632,-0.367665144176842,-0.371957822214737,-0.378654482515789,-0.352076913105263,-0.341367735063158,-0.357832375094737,-0.310844895941053,-0.305157778363158,-0.226072402557895,-0.212851013789474,-0.189668663505263,-0.176910276738947,-0.145638587432632,-0.146659446357895,-0.165097523747368,-0.148520441450526,-0.133027657877895,-0.135484225484211,-0.140949254606316,-0.143036542103158,-0.234008350084211,-0.237996353046316,-0.241872936753684,-0.385731674846316,-0.386539806695158,-0.398042042427368,-0.406304810557895,-0.412654096948421,-0.405815255994737,-0.370342159936842,-0.364562120936842,-0.360899929736842,-0.205498153643158,-0.199497634894842,-0.186180134046316,-0.187028010052632,-0.189428292087368,-0.178304513015789,-0.166844821398947,-0.1715627706,-0.168882766621053,-0.2447816482,-0.257544808673684,-0.319861741642105,-0.345567257452632,-0.361508400821053,-0.393187436357895,-0.385174084305263,-0.374695502176842,-0.379124805336842,-0.360229709305263,-0.347048106852632,-0.373953765915789,-0.372640586168421,-0.355221413957895,-0.341133193532632,-0.356975083678947,-0.356220486736842,-0.357139713252632,-0.358375555213684,"Walking",1
"2",2,1,-0.803339945867925,-0.803822689754717,-0.815153504073585,-0.804462137539623,-0.804810489011321,-0.820652875981132,-0.736803790377358,-0.752953909396226,-0.76530599345283,-0.759115416849057,-0.765481025641509,-0.772193835849057,-0.772856809433962,-0.752912948169811,-0.73570914120566,-0.73730536409434,-0.731871823245283,-0.723699564849057,-0.645433462377358,-0.576183410415094,-0.585408591028302,-0.611434133792453,-0.624293025830189,-0.620716679792453,-0.668130561660377,-0.676695100320755,-0.697214709962264,-0.700433487011321,-0.718418121509434,-0.711977398962264,-0.830012395471698,-0.839390180471698,-0.750259957396226,-0.743073944245283,-0.791247871339623,-0.778099320584906,-0.769761160735849,-0.772322491816981,-0.701668640679245,-0.723498798792453,-0.713599021811321,-0.716940718113208,-0.728291400358491,-0.726410878886792,-0.714887653773585,-0.706954708962264,-0.641336520811321,-0.648289525377359,-0.669394383566038,-0.699862995283019,-0.699508080584906,-0.686617134471698,-0.716334714867925,-0.738565923150943,-0.720287675811321,-0.784501583962264,-0.788630428358491,-0.78025017690566,-0.770974613320755,-0.770929089415094,-0.769252758113208,-0.773909203264151,-0.783037017358491,-0.78169487509434,-0.750372350566038,-0.745454921207547,-0.731933748018868,-0.655993215188679,-0.662821236471698,-0.625833952283019,-0.613883199630189,-0.615546213283019,-0.677484409133962,-0.65887089309434,-0.655413371641509,-0.685178195207547,-0.664762929849057,-0.662687791043057,-0.712326082962264,-0.761857537811321,-0.789129041150943,-0.787115092018868,-0.799359802603774,-0.811690107735849,-0.805972629360377,-0.794722552773585,"Walking Upstairs",1
"3",3,1,-0.784184879204082,-0.785295268393878,-0.772770603304082,-0.784497673326531,-0.782326718006122,-0.777011427163265,-0.668571499989796,-0.667655714632653,-0.664316853469388,-0.671367760020408,-0.664491058055102,-0.668262495914286,-0.65846564855102,-0.657267548020408,-0.625827738163265,-0.616905557895918,-0.608622764061225,-0.627214292346939,-0.687558936571429,-0.688195932163265,-0.688986968571429,-0.713280007897959,-0.713244125020408,-0.688900398857143,-0.784762209163265,-0.781805991,-0.764755091822449,-0.771871648387755,-0.779320114857143,-0.783502799122449,-0.791839851673469,-0.797509637122449,-0.75990428055102,-0.754588781461224,-0.750182579102041,-0.729453427285714,-0.64602880922449,-0.617231499908163,-0.668283561877551,-0.656442403402041,-0.606727479226531,-0.591865376571429,-0.582271956606122,-0.573623082357143,-0.5677297223,-0.589552427745184,-0.61524938822449,-0.601137199469388,-0.604905687081633,-0.715883962185714,-0.695037886122449,-0.698422970506122,-0.735817346122449,-0.733151877755102,-0.710728818477551,-0.7809528,-0.743932475836735,-0.772131853330612,-0.658634807163265,-0.707679650489796,-0.698432164326531,-0.686997197374082,-0.679937039367347,-0.686405270877551,-0.568080914122449,-0.573023794734694,-0.547187251940816,-0.664068114387755,-0.664365981571429,-0.689522008646939,-0.716520228069388,-0.714427993102041,-0.748200638795918,-0.754908747693878,-0.759690413918367,-0.727479541,-0.715135612367347,-0.754599080244898,-0.798277877734694,-0.791791828755102,-0.805487161142857,-0.800439072579592,-0.768629713897959,-0.795454064693878,-0.799190653877551,-0.787171931408163,"Walking Downstairs",1
"4",4,1,-0.0554593061106383,-0.0987418673680851,-0.0957424311578723,-0.0936857189361702,-0.0818957634510638,-0.112106080342553,-0.0645729681808511,-0.05796738079,-0.0728325781851064,-0.0640588555297872,-0.0638720920191489,-0.0480865533723404,0.0299219993425532,0.0170396238361702,0.0246166932021277,0.0316001945106383,0.0344793137617021,0.0205800862461702,-0.00751598865957447,-0.0110343842425532,-0.011446244,-0.0252735403553192,-0.0151165302702128,-0.0085047044,-0.0591831760740426,-0.0355004912765957,-0.0443080399787234,-0.0762766367191489,-0.0900516225255319,-0.0708239452659574,-0.121079417994894,-0.12461312163617,-0.0987978662680851,-0.0671331569893617,-0.0697523919297872,-0.0683290904893617,-0.0151694583276596,-0.0124328383404255,0.0140157469361702,-0.00553284225106383,0.0106003380425532,-0.0161618035017021,-0.0239389007255319,-0.0158494458765957,-0.025537046493617,-0.0165882655425532,0.0393002686851064,0.0425497452702128,0.00797499398297872,-0.0679883016276596,-0.0558366146914894,-0.0511400502574468,-0.0650601698085106,-0.0531985540170213,-0.0509447214042553,-0.0922755208957447,-0.0903630605042553,-0.0751458087808511,-0.045485133383617,-0.037582034412766,-0.0287125261319149,-0.0194720957361702,-0.0241411481489362,-0.0307663935553192,0.00180574908851064,0.0105462957021277,0.00865632861914894,-0.0246481178382979,-0.0448714855574468,-0.0184967803468085,-0.0177083361468085,-0.0288359843617021,0.000168410055319146,-0.0305362813553191,-0.0174320912574468,-0.00940995525531915,-0.0190824237404255,-0.0282201670085106,-0.0438402562489362,-0.0522306696170213,-0.0636328893340426,-0.0497964433340426,-0.0712056350880638,-0.0648005996468085,-0.0621642168582979,-0.0335625831446809,"Sitting",1
"5",5,1,-0.0583229700003774,-0.0783711469607547,-0.0847637400415094,-0.0811553690773585,-0.0749669219679245,-0.0938877193603774,-0.143452415679245,-0.148834446024717,-0.144954316467925,-0.157262924211321,-0.159915199279245,-0.146734197341509,-0.0870662184754717,-0.0820804327660377,-0.0808447620830189,-0.0871893078301887,-0.0884400688716981,-0.0809868391886792,-0.0709357984943396,-0.0590700350150943,-0.0617649040603774,-0.0524350295849057,-0.0418977839169811,-0.0377186633679245,-0.00918578781113207,-0.00890548980943396,-0.0201913518169811,-0.0340228604981132,-0.0293686167245283,-0.0229373995283019,-0.132785395075472,-0.124848710083019,-0.140881002022642,-0.146450945981132,-0.156146910843396,-0.127708180964151,-0.149167153850943,-0.135733051869811,-0.151175287392453,-0.145037042688679,-0.134066672413208,-0.146549639124528,-0.124937747986792,-0.158426534779245,-0.143132153435849,-0.139806139142075,-0.105105981454717,-0.0807750885169811,-0.0744002154283019,-0.0366804430622642,-0.0226241565113207,-0.021089505745283,-0.0240733196415094,-0.00440944283962264,-0.00792285568679245,-0.057276637964151,-0.0509562523622641,-0.0509679524886792,-0.137973604896226,-0.147297747515094,-0.1462990117,-0.172482369264151,-0.162239082530189,-0.144794944779057,-0.106472454137736,-0.0763960119245283,-0.0934878630849057,-0.0154031977679245,-0.0120996014811321,-0.0254867232830189,0.00207070005660378,-0.011482141845283,0.00694434546792453,0.00431261536415094,-0.00310075863207547,-0.0281508503532075,-0.0240945526811321,-0.0275781452698113,-0.0808284563962264,-0.0543435440377358,-0.0660554896969811,-0.0769157614,-0.0766271558320755,-0.0687268049867925,-0.0886328204924528,-0.0828640404,"Standing",1
"6",6,1,-0.23009538234,-0.212532131806,-0.2223647086,-0.230321424622,-0.2062207316,-0.22330840016,-0.16232023558,-0.1603637448,-0.16173086992,-0.14248819534,-0.160000772562,-0.169751160326,-0.211136807762,-0.22571036892,-0.2149157695,-0.204729486,-0.2398728504,-0.2249862363,-0.3023318352,-0.30940487416,-0.30964334312,-0.316723460806,-0.320143211246,-0.30991624498,-0.22784785566,-0.24100547838,-0.24285428122,-0.22288675992,-0.21841743628,-0.217668996,-0.200842478468,-0.162559695054,-0.14711463162,-0.17203975762,-0.166248938068,-0.1646052592442,-0.17130951844,-0.16212629252,-0.176686334866,-0.16455184962,-0.2003680140222,-0.21626839674,-0.22654402954,-0.21281098328,-0.2352195219086,-0.19086405396,-0.19649259462,-0.20543295156,-0.2326560179,-0.252073366662,-0.2673023143,-0.27636755942,-0.27393126762,-0.287164022974,-0.27744583444,-0.23057686202,-0.21053522444,-0.21455912842,-0.213984619598,-0.218546348254,-0.20497753992,-0.21533152632,-0.180335075384,-0.18872043462,-0.149538698156,-0.12585195194,-0.149155822888,-0.283306387654,-0.27795850616,-0.27378822494,-0.273317806178,-0.25805609274,-0.21265340196,-0.21147344602,-0.243049968462,-0.2655155766,-0.24406528212,-0.26605383258,-0.2548309313,-0.2493352359,-0.250873978736,-0.26036535112,-0.23969071098,-0.23070204222,-0.24708042248,-0.22865829846,"Laying",1
"7",1,2,-0.920057071559322,-0.921346138644068,-0.924707739491525,-0.937498531864407,-0.930093255762712,-0.921176870508475,-0.942929076610169,-0.925785729322034,-0.911419728474576,-0.910897081016949,-0.905232720169492,-0.903635781542373,-0.898459901016949,-0.877124579661017,-0.89284588331861,-0.920422568305085,-0.918544061525424,-0.929735846440678,-0.931146232542373,-0.933958045254237,-0.944965500338983,-0.948055251864407,-0.944498804067797,-0.950639263898305,-0.917543268305085,-0.937147381864407,-0.947006108813559,-0.926802558813559,-0.926219488644068,-0.923312643389831,-0.91803650479661,-0.927041831694915,-0.896730927118644,-0.907514165254237,-0.899185676271186,-0.892199852186441,-0.908243740847458,-0.913240946779661,-0.900725898813559,-0.908219311016949,-0.903462159491525,-0.909389876779661,-0.906877957118644,-0.91549728220339,-0.907660834237288,-0.902677303101695,-0.943161208644068,-0.928663802542373,-0.92338543338983,-0.924227504745763,-0.928154610542373,-0.931747498135593,-0.917251985254237,-0.911698115254237,-0.907353196610169,-0.911201053220339,-0.914141926237288,-0.925774932711864,-0.912696780847458,-0.926689530338983,-0.934021115423729,-0.933222144067797,-0.935223249491525,-0.934370097457627,-0.913304222152542,-0.906222931864407,-0.905117721016949,-0.924623562542373,-0.917956318813559,-0.940072334915254,-0.941352122881356,-0.934792318135593,-0.942668955423729,-0.931414363559322,-0.921689393050847,-0.946035217966102,-0.953107628135593,-0.940689746271186,-0.920763904576271,-0.889990823898305,-0.914672947966102,-0.9178182,-0.933358861864407,-0.92686123779661,-0.922209327118644,-0.919657895254237,"Walking",2
"8",2,2,-0.926714032916667,-0.931013273333333,-0.939635812083333,-0.939457026875,-0.939301796875,-0.935590884166667,-0.9011309919375,-0.911790380208333,-0.902293166458333,-0.914849125208333,-0.912257571041667,-0.913218928333333,-0.898695956666667,-0.914026420604167,-0.922090007916667,-0.902828665416667,-0.9064207125,-0.895243026666667,-0.915644518958333,-0.894547811041667,-0.901967381041667,-0.884490006666667,-0.90199940375,-0.928591046041667,-0.936669670833333,-0.92269121,-0.916399252083333,-0.9116004929375,-0.946617076458333,-0.943208199166667,-0.938755066458333,-0.930675493541667,-0.911144299791667,-0.928636991458333,-0.889791995833333,-0.880142933625,-0.912429160208333,-0.901869400416667,-0.903042359166667,-0.894005696916667,-0.902561459791667,-0.91179733625,-0.914613738125,-0.904324801458333,-0.914564512916667,-0.921134853958333,-0.9070437625,-0.91239279625,-0.9137702975,-0.934013419375,-0.950238003125,-0.948081724375,-0.938993412708333,-0.94013927375,-0.945364355625,-0.904898446458333,-0.932385208895833,-0.944056771458333,-0.908447222083333,-0.904629280833333,-0.912588570208333,-0.909392718333333,-0.928824008541667,-0.931571852916667,-0.929784493958333,-0.932324705625,-0.940327483958333,-0.91885589375,-0.941751139791667,-0.93516881875,-0.926286560625,-0.93025962,-0.917851566458333,-0.921679781875,-0.921613939166667,-0.935792232916667,-0.946119851041667,-0.917367965729167,-0.936265395625,-0.924489124791667,-0.937624106666667,-0.938182033958333,-0.938660667291667,-0.943407403958333,-0.920477050041667,-0.939620322083333,"Walking Upstairs",2
"9",3,2,-0.902614786170213,-0.912323217021277,-0.900505899787234,-0.910280896595745,-0.918446936723404,-0.91878178787234,-0.90858417,-0.911068985319149,-0.92380647893617,-0.918104814255319,-0.915094100851064,-0.895846877808511,-0.865441395106383,-0.873087563829787,-0.885102010425532,-0.869849463617021,-0.880512074468085,-0.876200767021277,-0.887028427446809,-0.889265324468085,-0.900617519148936,-0.881541348510638,-0.884296082382979,-0.898507986170213,-0.910105230851064,-0.897855886382979,-0.919268971914894,-0.930843742978723,-0.923985060425532,-0.915008378085106,-0.915284275957447,-0.893351956382979,-0.909634805106383,-0.89236946293617,-0.92240553212766,-0.916177201914894,-0.905633342978723,-0.898629342340426,-0.932355086170213,-0.917724045744681,-0.900234086170213,-0.912862242340426,-0.906151135531915,-0.895285686382979,-0.890886508723404,-0.89789301,-0.886230604680851,-0.864146388978723,-0.865385511723404,-0.922692201276596,-0.925796281702128,-0.918680917446808,-0.930738935531915,-0.933719278510638,-0.93176023,-0.896189024680851,-0.907004117021277,-0.883102448510638,-0.926216503404255,-0.928276198510638,-0.921304281702128,-0.919072372340425,-0.913014398510638,-0.885937547234042,-0.849413819787234,-0.867194012978723,-0.880157870851064,-0.900287569148936,-0.884066763191489,-0.882273385744681,-0.91002122212766,-0.901963561489362,-0.926205033404255,-0.936528294255319,-0.944617746170213,-0.946639695744681,-0.943193717234043,-0.951491404680851,-0.908296636170213,-0.908309067021277,-0.921038290212766,-0.923370701914894,-0.920364071702128,-0.917918961489362,-0.921186324255319,-0.929270734680851,"Walking Downstairs",2
"10",4,2,-0.897350049130435,-0.943002915,-0.939256176086957,-0.932038328695652,-0.946769304782609,-0.967042876521739,-0.929390994782609,-0.945642807826087,-0.939253053913043,-0.937267135347826,-0.924816561326087,-0.922191749130435,-0.924098366304348,-0.920349687173913,-0.919747202608696,-0.914672938913043,-0.90999995173913,-0.916669874130435,-0.91690355173913,-0.896326532173913,-0.893869654782609,-0.898323796521739,-0.888900856304348,-0.88603683026087,-0.939087797608696,-0.937146682608696,-0.937978099347826,-0.934403180217391,-0.930459316521739,-0.947649569130435,-0.947959049565217,-0.923013803695652,-0.934736380869565,-0.922294177608696,-0.892356783695652,-0.921743447391304,-0.906100046565217,-0.910671654869565,-0.914661999347826,-0.913553093043478,-0.926388057391304,-0.923251181586957,-0.922278568478261,-0.93226413823913,-0.91052176826087,-0.91603060076087,-0.933442135652174,-0.937716899782609,-0.938896226086957,-0.89311310673913,-0.899148538695652,-0.890799448043478,-0.879951070652174,-0.914019052608696,-0.902599275217391,-0.924700404130435,-0.936319672347826,-0.950047875434783,-0.937115122608696,-0.909290823043478,-0.917669976956522,-0.925943167173913,-0.917313484130435,-0.93461627326087,-0.933510238043478,-0.927867851956522,-0.900459962391304,-0.858577451086956,-0.88894723,-0.872075453913044,-0.908781186956522,-0.90926164826087,-0.900318119130435,-0.898047462173913,-0.911244055869565,-0.905273404565217,-0.928540080652174,-0.928483930434783,-0.939161284565217,-0.93960384826087,-0.932877470869565,-0.946057357826087,-0.933452044782609,-0.93704267326087,-0.939352367608696,-0.941218225652174,"Sitting",2
